EmployerName,EmployerSize,Section,DiffMeanPercent
ALHCO GROUP LIMITED,250 to 499,S,52.82939999999999
ALL CARE (GB) LIMITED,250 to 499,N,-3.5244
ALL CARE (GB) LIMITED,250 to 499,Q,-3.5244
ALL METAL SERVICES LIMITED,250 to 499,G,8.0
ALL SAINTS RETAIL LIMITED,1000 to 4999,G,10.4
ALL SAINTS RETAIL LIMITED,1000 to 4999,G,10.4
ALL SQUARE LIMITED,500 to 999,N,7.996800000000001
ALL SQUARE LIMITED,500 to 999,N,7.996800000000001
ALL SQUARE LIMITED,500 to 999,N,7.996800000000001
ALL STAR LEISURE (GROUP) LIMITED,250 to 499,G,7.0520000000000005
ALLEN & OVERY (SSF) LIMITED,250 to 499,N,21.127800000000004
ALLEN & OVERY SERVICE COMPANY LIMITED,1000 to 4999,M,29.059999999999995
ALLEYN'S SCHOOL,250 to 499,P,-7.231999999999999
ALLEYN'S SCHOOL,250 to 499,P,-7.231999999999999
ALLFORD HALL MONAGHAN MORRIS LIMITED,250 to 499,M,33.6648
ALLIANCE CLEANING LIMITED,500 to 999,N,-4.86
ALLIANCE HEALTHCARE MANAGEMENT SERVICES LIMITED,"5000 to 19,999",N,9.68
ALLPORT CARGO SERVICES LIMITED,500 to 999,H,35.6
ALPHA HEALTH CARE LIMITED,250 to 499,Q,10.6
ALPHA PLUS GROUP LIMITED,1000 to 4999,P,13.4577
ALPHA PLUS GROUP LIMITED,1000 to 4999,P,13.4577
ALPHA PLUS GROUP LIMITED,1000 to 4999,P,13.4577
ALPHA PLUS GROUP LIMITED,1000 to 4999,P,13.4577
ALPHA RESPONSE (2004) LIMITED,500 to 999,N,3.46
ALSTOM TRANSPORT UK LIMITED,1000 to 4999,C,24.24
ALSTOM TRANSPORT UK LIMITED,1000 to 4999,C,24.24
ALSTOM TRANSPORT UK LIMITED,1000 to 4999,F,24.24
ALTEN LTD,250 to 499,M,12.749399999999998
AMAZON DEVELOPMENT CENTRE (LONDON) LIMITED,500 to 999,N,14.296800000000001
AMAZON ONLINE UK LIMITED,250 to 499,M,18.4613
Amazon UK Services Ltd.,"5000 to 19,999",N,0.481
AMAZON WEB SERVICES UK LIMITED,500 to 999,M,34.056000000000004
Ambitious About Autism,250 to 499,P,-3.5
AMERICAN EXPRESS PAYMENT SERVICES LIMITED,250 to 499,N,11.3367
AMERICAN EXPRESS SERVICES EUROPE LIMITED,1000 to 4999,N,17.424400000000002
AMERICAN SCHOOL IN LONDON EDUCATIONAL TRUST LIMITED(THE),250 to 499,P,12.22
AMH FAMILY ENTERPRISE LIMITED,250 to 499,G,3.4569
AMT COFFEE LIMITED,250 to 499,I,1.83
AMTRUST MANAGEMENT SERVICES LIMITED,500 to 999,N,69.4834
ANCASTER GROUP LIMITED,250 to 499,G,50.437
ANCASTER GROUP LIMITED,250 to 499,G,50.437
ANCASTER GROUP LIMITED,250 to 499,G,50.437
ANCASTER GROUP LIMITED,250 to 499,G,50.437
ANCHOR TRUST,"5000 to 19,999",L,7.7112
ANCHOR TRUST,"5000 to 19,999",L,7.7112
ANCHOR TRUST,"5000 to 19,999",Q,7.7112
ANCHOR TRUST,"5000 to 19,999",Q,7.7112
ANGARD STAFFING SOLUTIONS LIMITED,1000 to 4999,N,-0.8
ANGELA MORTIMER PLC,1000 to 4999,N,1.04
Anglo American Services (UK) Ltd.,250 to 499,N,89.1642
ANKH CONCEPTS HOSPITALITY MANAGEMENT LIMITED,250 to 499,N,12.963
ANSCHUTZ SPORTS HOLDINGS LTD.,250 to 499,M,70.58840000000001
ANSCHUTZ SPORTS HOLDINGS LTD.,250 to 499,R,70.58840000000001
ANSCHUTZ SPORTS HOLDINGS LTD.,250 to 499,R,70.58840000000001
ANTALIS LIMITED,1000 to 4999,M,16.5464
AON HEWITT LIMITED,1000 to 4999,M,52.9322
AON UK LIMITED,1000 to 4999,K,70.247
APACHE NORTH SEA PRODUCTION LIMITED,500 to 999,N,43.9632
APCOA PARKING (UK) LIMITED,1000 to 4999,N,-1.1067
APLEONA HSG LIMITED,1000 to 4999,N,28.4143
APOLLO CLEANING SERVICES LIMITED,500 to 999,N,1.8
APPLE (UK) LIMITED,250 to 499,J,21.75
APPLE EUROPE LIMITED,500 to 999,N,31.02
APPLE RETAIL UK LIMITED,1000 to 4999,N,5.300000000000001
APPT CORPORATION LIMITED,1000 to 4999,I,6.65
"ARBUTHNOT LATHAM & CO., LIMITED",250 to 499,K,72.97430000000001
ARCADIA GROUP LIMITED,"5000 to 19,999",G,67.67
ARCADIA GROUP LIMITED,"5000 to 19,999",M,67.67
ARCADIS HUMAN RESOURCES LIMITED,1000 to 4999,M,26.690799999999996
ARCADIS HUMAN RESOURCES LIMITED,1000 to 4999,M,26.690799999999996
ARCADIS HUMAN RESOURCES LIMITED,1000 to 4999,M,26.690799999999996
ARCADIS HUMAN RESOURCES LIMITED,1000 to 4999,M,26.690799999999996
Architectural Association (Incorporated),250 to 499,P,-1.5
Architectural Association (Incorporated),250 to 499,P,-1.5
Architectural Association (Incorporated),250 to 499,P,-1.5
ARCUS FM LIMITED,1000 to 4999,L,17.965799999999998
ARDENT HIRE SOLUTIONS LIMITED,250 to 499,N,37.596
ARDMORE CONSTRUCTION LIMITED,250 to 499,F,56.1
ARENA RACING CORPORATION LIMITED,1000 to 4999,N,21.582200000000004
ARGUS MEDIA LIMITED,250 to 499,J,37.573600000000006
ARICENT TECHNOLOGIES UK LIMITED,Less than 250,J,8.61
ARJO WIGGINS FINE PAPERS LIMITED,500 to 999,C,1.3024000000000002
Ark Schools,1000 to 4999,P,16.12
Ark Schools,1000 to 4999,P,16.12
Ark Schools,1000 to 4999,P,16.12
Arris Global Ltd.,250 to 499,J,46.255300000000005
Arris Global Ltd.,250 to 499,J,46.255300000000005
Arris Global Ltd.,250 to 499,J,46.255300000000005
ARTHUR J. GALLAGHER SERVICES (UK) LIMITED,1000 to 4999,N,92.0781
"ARTS CLUB(LONDON),LIMITED(THE)",250 to 499,S,-8.230200000000002
ARVATO CRM LIMITED,250 to 499,N,-1.356
ARVATO LIMITED,500 to 999,N,20.837999999999997
ARVATO LIMITED,500 to 999,O,20.837999999999997
ARVATO PUBLIC SECTOR SERVICES LIMITED,500 to 999,O,18.8804
ASCENT FLIGHT TRAINING (MANAGEMENT)  LIMITED,250 to 499,O,42.296800000000005
ASHLEY CLEANING SERVICES LIMITED,250 to 499,N,8.9
ASHTEAD PLANT HIRE COMPANY LIMITED,1000 to 4999,N,7.3784
ASHURST BUSINESS SERVICES LIMITED,500 to 999,M,36.3342
ASHURST COMMERCIAL SERVICES LTD,250 to 499,M,19.5548
ASOS.COM LIMITED,1000 to 4999,G,49.628699999999995
ASPECT INTERNATIONAL LANGUAGE ACADEMIES LIMITED,250 to 499,P,19.397100000000002
ASPEN HEALTHCARE LIMITED,1000 to 4999,Q,-5.313
ASPEN INSURANCE UK SERVICES LIMITED,500 to 999,N,38.64
ASPERS (STRATFORD CITY) LIMITED,250 to 499,R,0.9287999999999998
Aspirations Academies Trust,500 to 999,P,35.44
Aspirations Academies Trust,500 to 999,P,35.44
Aspirations Academies Trust,500 to 999,P,35.44
Aspirations Academies Trust,500 to 999,P,35.44
ASSOCIATED NEWSPAPERS LIMITED,1000 to 4999,J,29.5656
ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS (UK),Less than 250,P,18.5185
ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS (UK),Less than 250,S,18.5185
ASTON LARK GROUP (HOLDINGS) LIMITED,500 to 999,M,32.22
ASTON LARK LIMITED,500 to 999,K,51.2577
Astrea Academy Trust,1000 to 4999,P,23.4725
ATOC LIMITED,250 to 499,H,26.8
ATOC LIMITED,250 to 499,H,26.8
ATOS BPS LIMITED,Less than 250,J,16.2408
ATOS BPS LIMITED,Less than 250,N,16.2408
ATOS BPS LIMITED,Less than 250,N,16.2408
ATOS CONSULTING LIMITED,250 to 499,J,24.522000000000002
ATOS CONSULTING LIMITED,250 to 499,J,24.522000000000002
ATOS IT SERVICES UK LIMITED,"5000 to 19,999",C,41.0816
ATOS IT SERVICES UK LIMITED,"5000 to 19,999",J,41.0816
ATOS IT SERVICES UK LIMITED,"5000 to 19,999",M,41.0816
ATOS IT SERVICES UK LIMITED,"5000 to 19,999",Q,41.0816
AUGUSTUS MARTIN LIMITED,250 to 499,C,16.0
AUNT BESSIE'S LIMITED,250 to 499,C,4.3264000000000005
AURORA CARE AND EDUCATION HOLDINGS LIMITED,500 to 999,P,-0.8
AVADO LEARNING LIMITED,Less than 250,P,25.62
AVANADE UK LIMITED,250 to 499,J,16.9514
Avanti Schools Trust,250 to 499,P,27.7
Avanti Schools Trust,250 to 499,P,27.7
Avanti Schools Trust,250 to 499,P,27.7
AVIVA EMPLOYMENT SERVICES LIMITED,"5000 to 19,999",S,42.1056
Awin Ltd,250 to 499,J,18.799999999999997
Awin Ltd,250 to 499,M,18.799999999999997
AXA GLOBAL HEALTHCARE (UK) LIMITED,250 to 499,K,24.191000000000003
AXA GLOBAL HEALTHCARE (UK) LIMITED,250 to 499,N,24.191000000000003
AXA ICAS LIMITED,250 to 499,K,3.8520000000000003
AXA INVESTMENT MANAGERS LIMITED,250 to 499,N,52.477799999999995
AXA INVESTMENT MANAGERS LIMITED,250 to 499,N,52.477799999999995
AXA PPP HEALTHCARE GROUP LIMITED,1000 to 4999,K,29.924300000000002
AXA SERVICES LIMITED,1000 to 4999,N,34.92
AXA UK PLC,500 to 999,M,26.923600000000004
AXIS CLEANING AND SUPPORT SERVICES LIMITED,1000 to 4999,N,8.08
Axis Europe PLC,500 to 999,F,10.0162
AXIS GROUP INTEGRATED SERVICES LIMITED,1000 to 4999,N,20.74
AXIS SECURITY SERVICES LIMITED,1000 to 4999,N,-11.36
AXIS UK SERVICES LIMITED,250 to 499,N,90.25
AZZURRI RESTAURANTS LIMITED,"5000 to 19,999",I,8.64
BA CITYFLYER LIMITED,500 to 999,H,64.93
BABCOCK AEROSPACE LIMITED,1000 to 4999,O,0.5161999999999994
BABCOCK AEROSPACE LIMITED,1000 to 4999,O,0.5161999999999994
BABCOCK AIRPORTS LIMITED,500 to 999,N,9.9974
BABCOCK CORPORATE SERVICES LIMITED,250 to 499,M,34.72
Babcock Dsg Ltd,1000 to 4999,O,-0.004800000000000005
BABCOCK INTEGRATED TECHNOLOGY LIMITED,500 to 999,S,24.186
BABCOCK LAND LIMITED,1000 to 4999,O,18.2896
BABCOCK MARINE TRAINING LIMITED,500 to 999,O,27.540000000000003
BABCOCK MARINE TRAINING LIMITED,500 to 999,O,27.540000000000003
BABCOCK MISSION CRITICAL SERVICES OFFSHORE LIMITED,250 to 499,H,61.2416
BABCOCK NETWORKS LIMITED,500 to 999,N,-7.4152
BABCOCK RAIL LIMITED,500 to 999,S,15.9605
BABCOCK TRAINING LIMITED,1000 to 4999,N,11.345799999999999
BABCOCK TRAINING LIMITED,1000 to 4999,P,11.345799999999999
BABCOCK VEHICLE ENGINEERING LIMITED,250 to 499,C,3.1537
BABCOCK VEHICLE ENGINEERING LIMITED,250 to 499,F,3.1537
BADENOCH AND CLARK LIMITED,250 to 499,N,22.3944
BADOO  LIMITED,250 to 499,J,50.82
BAE Systems Plc,"5000 to 19,999",C,20.559
BAE Systems Plc,"5000 to 19,999",C,20.559
BAE Systems Plc,"5000 to 19,999",C,20.559
BAE Systems Plc,"5000 to 19,999",C,20.559
BAKER & MCKENZIE SERVICES LIMITED,500 to 999,N,30.715200000000006
BAKER HICKS  LIMITED,250 to 499,N,50.43220000000001
BAKER HUGHES LIMITED,1000 to 4999,B,28.728
BAKKAVOR FOODS LIMITED,"5000 to 19,999",C,16.4424
BAKKAVOR FRESH COOK LIMITED,"5000 to 19,999",C,4.16
BAKKAVOR LIMITED,"5000 to 19,999",N,15.9093
BALANS RESTAURANTS LIMITED,Less than 250,I,7.592
BALFOUR BEATTY GROUP EMPLOYMENT LIMITED,"5000 to 19,999",N,31.92
BALLYMORE CONSTRUCTION SERVICES  LIMITED,250 to 499,S,51.6971
BANCROFT'S SCHOOL,250 to 499,P,16.5625
BANCROFT'S SCHOOL,250 to 499,P,16.5625
BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,1000 to 4999,K,27.386999999999997
BANK OF CHINA (UK) LIMITED,250 to 499,K,39.8426
BARBICAN HOLDINGS (UK) LIMITED,250 to 499,K,66.6324
BARCHESTER HEALTHCARE LIMITED,"5000 to 19,999",M,10.274099999999999
Barclays Bank PLC,"5000 to 19,999",K,87.261
BARCLAYS BANK UK PLC,"20,000 or more",K,40.609199999999994
Barclays PLC,Less than 250,K,53.818
Barclays PLC,Less than 250,M,53.818
BARCLAYS SERVICES LIMITED,"5000 to 19,999",N,33.143
BARING ASSET MANAGEMENT LIMITED,250 to 499,K,33.88
BARING ASSET MANAGEMENT LIMITED,250 to 499,K,33.88
Barking & Dagenham College,250 to 499,P,14.7
"Barking, Havering & Redbridge University Hospitals NHS Trust","5000 to 19,999",O,39.248999999999995
"Barking, Havering & Redbridge University Hospitals NHS Trust","5000 to 19,999",Q,39.248999999999995
Barnet Enfield & Haringey Mental Health NHS Trust,1000 to 4999,Q,11.704000000000002
BARNET HOMES LIMITED,250 to 499,L,4.5
BARNETT WADDINGHAM ACTUARIES AND CONSULTANTS LIMITED,1000 to 4999,K,19.018
Barts Health Nhs Trust,"5000 to 19,999",Q,26.793200000000002
BATT CABLES PUBLIC LIMITED COMPANY,250 to 499,G,32.809200000000004
Battersea Dogs' And Cats' Home,250 to 499,M,6.855200000000001
BAYLIS (GLOUCESTER) LIMITED,250 to 499,G,32.783100000000005
BB&R LIMITED,250 to 499,G,26.4594
BB&R LIMITED,250 to 499,G,26.4594
BBC STUDIOS DISTRIBUTION LIMITED,1000 to 4999,J,29.7024
BBC STUDIOS DISTRIBUTION LIMITED,1000 to 4999,R,29.7024
BBC STUDIOS PRODUCTIONS LIMITED,1000 to 4999,J,24.0394
BDO SERVICES LIMITED,1000 to 4999,N,25.7004
BE ROTA LIMITED,250 to 499,N,19.271700000000003
BEACON MULTI-ACADEMY TRUST LIMITED,250 to 499,P,11.9
BEAM SUNTORY UK LIMITED,250 to 499,C,11.9238
BEAP RESTAURANTS LIMITED,500 to 999,I,6.03
BEAZLEY MANAGEMENT LIMITED,500 to 999,K,61.96979999999999
BEAZLEY MANAGEMENT LIMITED,500 to 999,K,61.96979999999999
BECHTEL LIMITED,500 to 999,F,40.9773
BECHTEL LIMITED,500 to 999,M,40.9773
BERKELEY SCOTT LIMITED,1000 to 4999,N,12.522300000000001
BERRYWORLD LIMITED,250 to 499,G,36.7628
BESTINVEST (HOLDINGS) LIMITED,250 to 499,K,67.683
BESTWAY NORTHERN LIMITED,500 to 999,G,5.088
BESTWAY WHOLESALE LIMITED,1000 to 4999,G,14.6
BETFAIR LIMITED,500 to 999,R,17.0942
BIDFRESH LIMITED,1000 to 4999,G,-7.920000000000001
BIDFRESH LIMITED,1000 to 4999,G,-7.920000000000001
BIDFRESH LIMITED,1000 to 4999,G,-7.920000000000001
BIG BEAR CONFECTIONERY LIMITED,Less than 250,C,19.0
BIG BEAR CONFECTIONERY LIMITED,Less than 250,C,19.0
BIG BUS TOURS  LIMITED,250 to 499,H,-9.1574
BIGHAMS LIMITED,250 to 499,C,9.9456
Bills Restaurants Ltd.,1000 to 4999,G,6.7712
Bills Restaurants Ltd.,1000 to 4999,I,6.7712
BIRD & BIRD (SERVICES) LIMITED,500 to 999,N,21.616
BIRDS EYE LIMITED,500 to 999,C,5.9044
"Birkbeck College, University of London",1000 to 4999,P,12.2485
"Birkbeck College, University of London",1000 to 4999,P,12.2485
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,1000 to 4999,K,28.560000000000002
BLANC BRASSERIES LIMITED,500 to 999,I,9.568999999999999
BLICK ROTHENBERG LIMITED,250 to 499,M,45.6723
BLICK ROTHENBERG LIMITED,250 to 499,M,45.6723
BLICK ROTHENBERG LIMITED,250 to 499,M,45.6723
BLICK ROTHENBERG LIMITED,250 to 499,N,45.6723
Blind Veterans UK,250 to 499,Q,6.5
Bloomberg LP,1000 to 4999,J,28.4922
Bloomsbury Publishing PLC,250 to 499,J,35.724
Bloomsbury Publishing PLC,250 to 499,J,35.724
Bloomsbury Publishing PLC,250 to 499,J,35.724
BLUE MANCHESTER LIMITED,250 to 499,I,-3.08
BLUEBAY ASSET MANAGEMENT CORPORATION LTD,250 to 499,K,35.5239
BMI HEALTHCARE LIMITED,"5000 to 19,999",Q,11.3256
BMI HEALTHCARE LIMITED,"5000 to 19,999",Q,11.3256
BMI HEALTHCARE LIMITED,"5000 to 19,999",Q,11.3256
BMI HEALTHCARE LIMITED,"5000 to 19,999",Q,11.3256
BMT DEFENCE AND SECURITY UK LIMITED,250 to 499,M,33.74400000000001
BMT DEFENCE AND SECURITY UK LIMITED,250 to 499,M,33.74400000000001
BMT DEFENCE AND SECURITY UK LIMITED,250 to 499,O,33.74400000000001
BMT DEFENCE AND SECURITY UK LIMITED,250 to 499,O,33.74400000000001
BNP PARIBAS REAL ESTATE ADVISORY & PROPERTY MANAGEMENT UK LIMITED,1000 to 4999,L,87.5
BNP PARIBAS REAL ESTATE ADVISORY & PROPERTY MANAGEMENT UK LIMITED,1000 to 4999,L,87.5
BOEING DEFENCE UK LIMITED,1000 to 4999,O,24.148799999999998
BOLLORÉ LOGISTICS UK LTD,500 to 999,H,85.92
BONHAMS 1793 LIMITED,250 to 499,S,74.19099999999999
BOSTON SCIENTIFIC LIMITED,250 to 499,G,25.887599999999996
BOSTON SCIENTIFIC LIMITED,250 to 499,Q,25.887599999999996
BOUX AVENUE LIMITED,500 to 999,G,96.359
BOUYGUES (U.K.) LIMITED,1000 to 4999,F,44.79900000000001
BOUYGUES (U.K.) LIMITED,1000 to 4999,F,44.79900000000001
BOUYGUES (U.K.) LIMITED,1000 to 4999,F,44.79900000000001
BOUYGUES E&S FM UK LIMITED,1000 to 4999,N,37.652800000000006
BP P.L.C.,1000 to 4999,M,39.599999999999994
BPDTS,500 to 999,O,8.7156
BPP PROFESSIONAL EDUCATION LIMITED,250 to 499,P,10.5357
BPP PROFESSIONAL EDUCATION LIMITED,250 to 499,P,10.5357
BPP UNIVERSITY LIMITED,1000 to 4999,P,11.773299999999999
BPP UNIVERSITY LIMITED,1000 to 4999,P,11.773299999999999
BPP UNIVERSITY LIMITED,1000 to 4999,P,11.773299999999999
BPP UNIVERSITY LIMITED,1000 to 4999,P,11.773299999999999
BRADLEYS PAYROLL SOLUTIONS LIMITED,500 to 999,Q,33.6452
Braemar Shipping Services PLC,250 to 499,H,75.0141
Brampton Manor Trust,250 to 499,P,26.7
Brampton Manor Trust,250 to 499,P,26.7
BRAND-REX LIMITED,250 to 499,C,8.049600000000002
BRAVURA SOLUTIONS (UK) LIMITED,250 to 499,J,17.78
BREAD FACTORY LIMITED,500 to 999,C,7.52
BRENTFORD FC LIMITED,250 to 499,R,138.6
BRETT AGGREGATES LIMITED,250 to 499,B,4.3394
BRETT LANDSCAPING LIMITED,250 to 499,B,0.558
BRETT LANDSCAPING LIMITED,250 to 499,C,0.558
BREWIN DOLPHIN LIMITED,1000 to 4999,K,62.279900000000005
BREYER GROUP PUBLIC LIMITED COMPANY,250 to 499,F,52.4
BREYER GROUP PUBLIC LIMITED COMPANY,250 to 499,F,52.4
BREYER GROUP PUBLIC LIMITED COMPANY,250 to 499,F,52.4
BREYER GROUP PUBLIC LIMITED COMPANY,250 to 499,F,52.4
BRIGHTON GRAND HOTEL OPERATIONS LIMITED,250 to 499,I,9.0258
BRIGHTON MARINE PALACE & PIER COMPANY (THE),250 to 499,R,-2.806299999999998
BRIT GROUP SERVICES LIMITED,250 to 499,N,55.0766
BRITISH AIRWAYS HOLIDAYS LIMITED,250 to 499,H,17.764200000000002
BRITISH AIRWAYS HOLIDAYS LIMITED,250 to 499,H,17.764200000000002
BRITISH AIRWAYS MAINTENANCE CARDIFF LIMITED,500 to 999,C,8.91
BRITISH AIRWAYS PLC,"20,000 or more",H,52.80100000000001
BRITISH AIRWAYS PLC,"20,000 or more",H,52.80100000000001
BRITISH AIRWAYS PLC,"20,000 or more",H,52.80100000000001
BRITISH AIRWAYS PLC,"20,000 or more",H,52.80100000000001
BRITISH AMERICAN TOBACCO (INVESTMENTS) LIMITED,500 to 999,M,43.79
BRITISH DIABETIC ASSOCIATION(THE),250 to 499,Q,12.334199999999997
BRITISH DIABETIC ASSOCIATION(THE),250 to 499,S,12.334199999999997
British Film Institute,500 to 999,O,0.48360000000000003
British Heart Foundation,1000 to 4999,Q,8.140799999999999
BRITISH HORSERACING AUTHORITY LIMITED,250 to 499,R,25.56
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),250 to 499,F,66.38170000000001
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),250 to 499,K,66.38170000000001
British Medical Association,500 to 999,M,19.1624
British Medical Association,500 to 999,S,19.1624
British Red Cross Society,1000 to 4999,K,7.315
BRITISH SUGAR PLC,1000 to 4999,C,25.247200000000003
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,"20,000 or more",J,-2.0944000000000003
British Transport Police,1000 to 4999,O,10.56
BRITISH UNITED PROVIDENT ASSOCIATION LIMITED(THE),1000 to 4999,Q,26.1324
BRITISH-AMERICAN TOBACCO (HOLDINGS) LIMITED,1000 to 4999,M,62.00999999999999
BROADGATE ESTATES LIMITED,250 to 499,F,44.409600000000005
BROADRIDGE FINANCIAL SOLUTIONS LIMITED,250 to 499,J,30.3066
BROMLEY HEALTHCARE COMMUNITY INTEREST COMPANY,1000 to 4999,Q,22.191399999999998
BROMPTON BICYCLE  LIMITED,Less than 250,C,12.816
Brooks Macdonald Group PLC,250 to 499,M,71.68230000000001
BROWN SHIPLEY & CO. LIMITED,250 to 499,K,84.84499999999998
Brunel University London,1000 to 4999,P,28.4526
BRYANT PARK HOSPITALITY UK LIMITED,1000 to 4999,I,11.968
BSI ASSURANCE UK LIMITED,500 to 999,S,25.588599999999996
BSI STANDARDS LIMITED,250 to 499,S,18.475800000000003
BT FACILITIES SERVICES LIMITED,1000 to 4999,N,16.092499999999998
BT FLEET LIMITED,500 to 999,G,-0.7029000000000001
BT SOUTH TYNESIDE LIMITED,250 to 499,J,-267.93
BTG PLC,250 to 499,M,32.9592
BUCK CONSULTANTS LIMITED,500 to 999,K,23.9712
BÜHLER UK LIMITED,250 to 499,C,36.24209999999999
BUILDER DEPOT LIMITED,250 to 499,G,0.32800000000000007
BUNZL RETAIL & HEALTHCARE SUPPLIES LIMITED,1000 to 4999,G,7.3986
BUNZL UK LIMITED,1000 to 4999,G,24.6078
BUPA CARE HOMES (AKW) LIMITED,500 to 999,S,4.005199999999999
BUPA CARE HOMES (ANS) LIMITED,1000 to 4999,S,0.6670999999999999
BUPA CARE HOMES (BNH) LIMITED,1000 to 4999,S,-0.1811999999999999
BUPA CARE HOMES (CFCHOMES) LIMITED,1000 to 4999,Q,1.5004
BUPA CARE HOMES (CFHCARE) LIMITED,500 to 999,Q,19.084799999999998
BUPA CARE HOMES (GL) LIMITED,500 to 999,Q,0.8100000000000004
