Prefix,Region
BS34,South West England
BS35,South West England
BS36,South West England
BS37,South West England
BS39,South West England
BS4,South West England
BS40,South West England
BS41,South West England
BS48,South West England
BS49,South West England
BS5,South West England
BS6,South West England
BS7,South West England
BS77,South West England
BS8,South West England
BS80,South West England
BS9,South West England
BS98,South West England
BS99,South West England
BT1,Northern Ireland
BT10,Northern Ireland
BT11,Northern Ireland
BT12,Northern Ireland
BT13,Northern Ireland
BT14,Northern Ireland
BT15,Northern Ireland
BT16,Northern Ireland
BT17,Northern Ireland
BT18,Northern Ireland
BT19,Northern Ireland
BT2,Northern Ireland
BT20,Northern Ireland
BT21,Northern Ireland
BT22,Northern Ireland
BT23,Northern Ireland
BT24,Northern Ireland
BT25,Northern Ireland
BT26,Northern Ireland
BT27,Northern Ireland
BT28,Northern Ireland
BT29,Northern Ireland
BT3,Northern Ireland
BT30,Northern Ireland
BT31,Northern Ireland
BT32,Northern Ireland
BT33,Northern Ireland
BT34,Northern Ireland
BT35,Northern Ireland
BT36,Northern Ireland
BT37,Northern Ireland
BT38,Northern Ireland
BT39,Northern Ireland
BT4,Northern Ireland
BT40,Northern Ireland
BT41,Northern Ireland
BT42,Northern Ireland
BT43,Northern Ireland
BT44,Northern Ireland
BT45,Northern Ireland
BT46,Northern Ireland
BT47,Northern Ireland
BT48,Northern Ireland
BT49,Northern Ireland
BT5,Northern Ireland
BT51,Northern Ireland
BT52,Northern Ireland
BT53,Northern Ireland
BT54,Northern Ireland
BT55,Northern Ireland
BT56,Northern Ireland
BT57,Northern Ireland
BT6,Northern Ireland
BT60,Northern Ireland
BT61,Northern Ireland
BT62,Northern Ireland
BT63,Northern Ireland
BT64,Northern Ireland
BT65,Northern Ireland
BT66,Northern Ireland
BT67,Northern Ireland
BT68,Northern Ireland
BT69,Northern Ireland
BT7,Northern Ireland
BT70,Northern Ireland
BT71,Northern Ireland
BT74,Northern Ireland
BT75,Northern Ireland
BT76,Northern Ireland
BT77,Northern Ireland
BT78,Northern Ireland
BT79,Northern Ireland
BT8,Northern Ireland
BT80,Northern Ireland
BT81,Northern Ireland
BT82,Northern Ireland
BT9,Northern Ireland
BT92,Northern Ireland
BT93,Northern Ireland
BT94,Northern Ireland
BT99,Northern Ireland
CA1,North West England
CA10,North West England
CA11,North West England
CA12,North West England
CA13,North West England
CA14,North West England
CA15,North West England
CA16,North West England
CA17,North West England
CA18,North West England
CA19,North West England
CA2,North West England
CA20,North West England
CA21,North West England
CA22,North West England
CA23,North West England
CA24,North West England
CA25,North West England
CA26,North West England
CA27,North West England
CA28,North West England
CA3,North West England
CA4,North West England
CA5,North West England
CA6,North West England
CA7,North West England
CA8,North West England
CA9,North West England
CA95,North West England
CA99,North West England
CB1,East of England
CB10,East of England
CB11,East of England
CB2,East of England
CB21,East of England
CB22,East of England
CB23,East of England
CB24,East of England
CB25,East of England
CB3,East of England
CB4,East of England
CB5,East of England
CB6,East of England
CB7,East of England
CB8,East of England
CB9,East of England
CF1,Wales
CF10,Wales
CF11,Wales
CF14,Wales
CF15,Wales
CF2,Wales
CF23,Wales
CF24,Wales
CF3,Wales
CF30,Wales
CF31,Wales
CF32,Wales
CF33,Wales
CF34,Wales
CF35,Wales
CF36,Wales
CF37,Wales
CF38,Wales
CF39,Wales
CF4,Wales
CF40,Wales
CF41,Wales
CF42,Wales
CF43,Wales
CF44,Wales
CF45,Wales
CF46,Wales
CF47,Wales
CF48,Wales
CF5,Wales
CF6,Wales
CF61,Wales
CF62,Wales
CF63,Wales
CF64,Wales
CF7,Wales
CF71,Wales
CF72,Wales
CF8,Wales
CF81,Wales
CF82,Wales
CF83,Wales
CF91,Wales
CF95,Wales
CF99,Wales
CH1,North West England
CH2,North West England
CH25,North West England
CH26,North West England
CH27,North West England
CH28,North West England
CH29,North West England
CH3,North West England
CH30,North West England
CH31,North West England
CH32,North West England
CH33,North West England
CH34,North West England
CH4,North West England
CH41,North West England
CH42,North West England
CH43,North West England
CH44,North West England
CH45,North West England
CH46,North West England
CH47,North West England
CH48,North West England
CH49,North West England
CH5,Wales
CH6,Wales
CH60,North West England
CH61,North West England
CH62,North West England
CH63,North West England
CH64,North West England
CH65,North West England
CH66,North West England
CH7,Wales
CH70,North West England
CH8,Wales
CH88,North West England
CH99,North West England
CM0,East of England
CM1,East of England
CM11,East of England
CM12,East of England
CM13,East of England
CM14,East of England
CM15,East of England
CM16,East of England
CM17,East of England
CM18,East of England
CM19,East of England
CM2,East of England
CM20,East of England
CM21,East of England
CM22,East of England
CM23,East of England
CM24,East of England
CM3,East of England
CM4,East of England
CM5,East of England
CM6,East of England
CM7,East of England
CM77,East of England
CM8,East of England
CM9,East of England
CM92,East of England
CM98,East of England
CM99,East of England
CO1,East of England
CO10,East of England
CO11,East of England
CO12,East of England
CO13,East of England
CO14,East of England
CO15,East of England
CO16,East of England
CO2,East of England
CO3,East of England
CO4,East of England
CO5,East of England
CO6,East of England
CO7,East of England
CO8,East of England
CO9,East of England
CR0,London
CR2,London
CR3,South East England
CR4,London
CR44,London
CR5,London
CR6,South East England
CR7,London
CR8,London
CR9,London
CR90,London
CT1,South East England
CT10,South East England
CT11,South East England
CT12,South East England
CT13,South East England
CT14,South East England
CT15,South East England
CT16,South East England
CT17,South East England
CT18,South East England
CT19,South East England
CT2,South East England
CT20,South East England
CT21,South East England
CT3,South East England
CT4,South East England
CT5,South East England
CT50,South East England
CT6,South East England
CT7,South East England
CT8,South East England
CT9,South East England
CV1,West Midlands
CV10,West Midlands
CV11,West Midlands
CV12,West Midlands
CV13,East Midlands
CV2,West Midlands
CV21,West Midlands
CV22,West Midlands
CV23,West Midlands
CV3,West Midlands
CV31,West Midlands
CV32,West Midlands
CV33,West Midlands
CV34,West Midlands
CV35,West Midlands
CV36,West Midlands
CV37,West Midlands
CV4,West Midlands
CV47,West Midlands
CV5,West Midlands
CV6,West Midlands
CV7,West Midlands
CV8,West Midlands
CV9,West Midlands
CW1,North West England
CW10,North West England
CW11,North West England
CW12,North West England
CW2,North West England
CW3,West Midlands
CW4,North West England
CW5,North West England
CW6,North West England
CW7,North West England
CW8,North West England
CW9,North West England
CW98,North West England
DA1,South East England
DA10,South East England
DA11,South East England
DA12,South East England
DA13,South East England
DA14,London
DA15,London
DA16,London
DA17,London
DA18,London
DA2,South East England
DA3,South East England
DA4,South East England
DA5,London
DA6,London
DA7,London
DA8,London
DA9,South East England
DD1,Scotland
DD10,Scotland
DD11,Scotland
DD2,Scotland
DD3,Scotland
DD4,Scotland
DD5,Scotland
DD6,Scotland
DD7,Scotland
DD8,Scotland
DD9,Scotland
DE1,East Midlands
DE11,East Midlands
DE12,East Midlands
DE13,West Midlands
DE14,West Midlands
DE15,West Midlands
DE2,East Midlands
DE21,East Midlands
DE22,East Midlands
DE23,East Midlands
DE24,East Midlands
DE3,East Midlands
DE4,East Midlands
DE45,East Midlands
DE5,East Midlands
DE55,East Midlands
DE56,East Midlands
DE6,East Midlands
DE65,East Midlands
DE7,East Midlands
DE72,East Midlands
DE73,East Midlands
DE74,East Midlands
DE75,East Midlands
DE99,East Midlands
DG1,Scotland
DG10,Scotland
DG11,Scotland
DG12,Scotland
DG13,Scotland
DG14,Scotland
DG16,Scotland
DG2,Scotland
DG3,Scotland
DG4,Scotland
DG5,Scotland
DG6,Scotland
DG7,Scotland
DG8,Scotland
DG9,Scotland
DH1,North East England
DH2,North East England
DH3,North East England
DH4,North East England
DH5,North East England
DH6,North East England
DH7,North East England
DH8,North East England
DH9,North East England
DH97,North East England
DH98,North East England
DH99,North East England
DL1,North East England
DL10,Yorkshire and the Humber
DL11,Yorkshire and the Humber
DL12,North East England
DL13,North East England
DL14,North East England
DL15,North East England
DL16,North East England
DL17,North East England
DL2,North East England
DL3,North East England
DL4,North East England
DL5,North East England
DL6,Yorkshire and the Humber
DL7,Yorkshire and the Humber
DL8,Yorkshire and the Humber
DL9,Yorkshire and the Humber
DL98,North East England
DN1,Yorkshire and the Humber
DN10,East Midlands
DN11,Yorkshire and the Humber
DN12,Yorkshire and the Humber
DN14,Yorkshire and the Humber
DN15,Yorkshire and the Humber
DN16,Yorkshire and the Humber
DN17,Yorkshire and the Humber
DN18,Yorkshire and the Humber
DN19,Yorkshire and the Humber
DN2,Yorkshire and the Humber
DN20,Yorkshire and the Humber
DN21,East Midlands
DN22,East Midlands
DN3,Yorkshire and the Humber
DN31,Yorkshire and the Humber
DN32,Yorkshire and the Humber
DN33,Yorkshire and the Humber
DN34,Yorkshire and the Humber
DN35,Yorkshire and the Humber
DN36,Yorkshire and the Humber
DN37,Yorkshire and the Humber
DN38,Yorkshire and the Humber
DN39,Yorkshire and the Humber
DN4,Yorkshire and the Humber
DN40,Yorkshire and the Humber
DN41,Yorkshire and the Humber
DN5,Yorkshire and the Humber
DN55,Yorkshire and the Humber
DN6,Yorkshire and the Humber
DN7,Yorkshire and the Humber
DN8,Yorkshire and the Humber
DN9,Yorkshire and the Humber
DT1,South West England
DT10,South West England
DT11,South West England
DT2,South West England
DT3,South West England
DT4,South West England
DT5,South West England
DT6,South West England
DT7,South West England
DT8,South West England
DT9,South West England
DY1,West Midlands
DY10,West Midlands
DY11,West Midlands
DY12,West Midlands
DY13,West Midlands
DY14,West Midlands
DY2,West Midlands
DY3,West Midlands
DY4,West Midlands
DY5,West Midlands
DY6,West Midlands
DY7,West Midlands
DY8,West Midlands
DY9,West Midlands
E1,London
E10,London
E11,London
E12,London
E13,London
E14,London
E15,London
E16,London
E17,London
E18,London
E1W,London
E2,London
E20,London
E3,London
E4,London
E5,London
E6,London
E7,London
E77,London
E8,London
E9,London
E98,London
EC1A,London
EC1M,London
EC1N,London
EC1P,London
EC1R,London
EC1V,London
EC1Y,London
EC2A,London
EC2M,London
EC2N,London
EC2P,London
EC2R,London
EC2V,London
EC2Y,London
EC3A,London
EC3B,London
EC3M,London
EC3N,London
EC3P,London
EC3R,London
EC3V,London
EC4A,London
EC4M,London
EC4N,London
EC4P,London
EC4R,London
EC4V,London
EC4Y,London
EC50,London
EC88,London
EH1,Scotland
EH10,Scotland
EH11,Scotland
EH12,Scotland
EH13,Scotland
EH14,Scotland
EH15,Scotland
EH16,Scotland
EH17,Scotland
EH18,Scotland
EH19,Scotland
EH2,Scotland
EH20,Scotland
EH21,Scotland
EH22,Scotland
EH23,Scotland
EH24,Scotland
EH25,Scotland
EH26,Scotland
EH27,Scotland
EH28,Scotland
EH29,Scotland
EH3,Scotland
EH30,Scotland
EH31,Scotland
EH32,Scotland
EH33,Scotland
EH34,Scotland
EH35,Scotland
EH36,Scotland
EH37,Scotland
EH38,Scotland
EH39,Scotland
EH4,Scotland
EH40,Scotland
EH41,Scotland
EH42,Scotland
EH43,Scotland
EH44,Scotland
EH45,Scotland
EH46,Scotland
EH47,Scotland
EH48,Scotland
EH49,Scotland
EH5,Scotland
EH51,Scotland
EH52,Scotland
EH53,Scotland
EH54,Scotland
EH55,Scotland
EH6,Scotland
EH7,Scotland
EH8,Scotland
EH9,Scotland
EH91,Scotland
EH95,Scotland
EH99,Scotland
EN1,London
EN10,East of England
EN11,East of England
EN2,London
EN3,London
EN4,London
EN5,London
EN6,East of England
EN7,East of England
EN8,East of England
EN9,East of England
EX1,South West England
EX10,South West England
EX11,South West England
EX12,South West England
EX13,South West England
EX14,South West England
EX15,South West England
EX16,South West England
EX17,South West England
EX18,South West England
EX19,South West England
EX2,South West England
EX20,South West England
EX21,South West England
EX22,South West England
EX23,South West England
EX24,South West England
EX3,South West England
EX31,South West England
EX32,South West England
EX33,South West England
EX34,South West England
EX35,South West England
EX36,South West England
EX37,South West England
EX38,South West England
EX39,South West England
EX4,South West England
EX5,South West England
EX6,South West England
EX7,South West England
EX8,South West England
EX9,South West England
FK1,Scotland
FK10,Scotland
FK11,Scotland
FK12,Scotland
FK13,Scotland
FK14,Scotland
FK15,Scotland
FK16,Scotland
FK17,Scotland
FK18,Scotland
FK19,Scotland
FK2,Scotland
FK20,Scotland
FK21,Scotland
FK3,Scotland
FK4,Scotland
FK5,Scotland
FK6,Scotland
FK7,Scotland
FK8,Scotland
FK9,Scotland
FY0,North West England
FY1,North West England
FY2,North West England
FY3,North West England
FY4,North West England
FY5,North West England
FY6,North West England
FY7,North West England
FY8,North West England
G1,Scotland
G11,Scotland
G12,Scotland
G13,Scotland
G14,Scotland
G15,Scotland
G2,Scotland
G20,Scotland
G21,Scotland
G22,Scotland
G23,Scotland
G3,Scotland
G31,Scotland
G32,Scotland
G33,Scotland
G34,Scotland
G4,Scotland
G40,Scotland
G41,Scotland
G42,Scotland
G43,Scotland
G44,Scotland
G45,Scotland
G46,Scotland
G5,Scotland
G51,Scotland
G52,Scotland
G53,Scotland
G58,Scotland
G60,Scotland
G61,Scotland
G62,Scotland
G63,Scotland
G64,Scotland
G65,Scotland
G66,Scotland
G67,Scotland
G68,Scotland
G69,Scotland
G70,Scotland
G71,Scotland
G72,Scotland
G73,Scotland
G74,Scotland
G75,Scotland
G76,Scotland
G77,Scotland
G78,Scotland
G79,Scotland
G80,Scotland
G81,Scotland
G82,Scotland
G83,Scotland
G84,Scotland
G9,Scotland
G90,Scotland
GL1,South West England
GL10,South West England
GL11,South West England
GL12,South West England
GL13,South West England
GL14,South West England
GL15,South West England
GL16,South West England
GL17,South West England
GL18,South West England
GL19,South West England
GL2,South West England
GL20,South West England
GL3,South West England
GL4,South West England
GL5,South West England
GL50,South West England
GL51,South West England
GL52,South West England
GL53,South West England
GL54,South West England
GL55,South West England
GL56,South West England
GL6,South West England
GL7,South West England
GL8,South West England
GL9,South West England
GU1,South East England
GU10,South East England
GU11,South East England
GU12,South East England
GU13,South East England
GU14,South East England
GU15,South East England
GU16,South East England
GU17,South East England
GU18,South East England
GU19,South East England
GU2,South East England
GU20,South East England
GU21,South East England
GU22,South East England
GU23,South East England
GU24,South East England
GU25,South East England
GU26,South East England
GU27,South East England
GU28,South East England
GU29,South East England
GU3,South East England
GU30,South East England
GU31,South East England
GU32,South East England
GU33,South East England
GU34,South East England
GU35,South East England
GU4,South East England
GU46,South East England
GU47,South East England
GU5,South East England
GU51,South East England
GU52,South East England
GU6,South East England
GU7,South East England
GU8,South East England
GU9,South East England
GU95,South East England
GY1,Channel Islands
GY10,Channel Islands
GY2,Channel Islands
GY3,Channel Islands
GY4,Channel Islands
GY5,Channel Islands
GY6,Channel Islands
GY7,Channel Islands
GY8,Channel Islands
GY9,Channel Islands
HA0,London
HA1,London
HA2,London
HA3,London
HA4,London
HA5,London
HA6,London
HA7,London
HA8,London
HA9,London
HD1,Yorkshire and the Humber
HD2,Yorkshire and the Humber
HD3,Yorkshire and the Humber
HD4,Yorkshire and the Humber
HD5,Yorkshire and the Humber
HD6,Yorkshire and the Humber
HD7,Yorkshire and the Humber
HD8,Yorkshire and the Humber
HD9,Yorkshire and the Humber
HG1,Yorkshire and the Humber
HG2,Yorkshire and the Humber
HG3,Yorkshire and the Humber
HG4,Yorkshire and the Humber
HG5,Yorkshire and the Humber
HP1,East of England
HP10,South East England
HP11,South East England
HP12,South East England
HP13,South East England
HP14,South East England
HP15,South East England
HP16,South East England
HP17,South East England
HP18,South East England
HP19,South East England
HP2,East of England
HP20,South East England
HP21,South East England
HP22,South East England
HP23,East of England
HP27,South East England
HP3,East of England
HP4,East of England
HP5,South East England
HP6,South East England
HP7,South East England
HP8,South East England
HP9,South East England
HR1,West Midlands
HR2,West Midlands
HR3,West Midlands
HR4,West Midlands
HR5,West Midlands
HR6,West Midlands
HR7,West Midlands
HR8,West Midlands
HR9,West Midlands
HS1,Scotland
HS2,Scotland
HS3,Scotland
HS4,Scotland
HS5,Scotland
HS6,Scotland
HS7,Scotland
HS8,Scotland
HS9,Scotland
HU1,Yorkshire and the Humber
HU10,Yorkshire and the Humber
HU11,Yorkshire and the Humber
HU12,Yorkshire and the Humber
HU13,Yorkshire and the Humber
HU14,Yorkshire and the Humber
HU15,Yorkshire and the Humber
HU16,Yorkshire and the Humber
HU17,Yorkshire and the Humber
HU18,Yorkshire and the Humber
HU19,Yorkshire and the Humber
HU2,Yorkshire and the Humber
HU20,Yorkshire and the Humber
HU3,Yorkshire and the Humber
HU4,Yorkshire and the Humber
HU5,Yorkshire and the Humber
HU6,Yorkshire and the Humber
HU7,Yorkshire and the Humber
HU8,Yorkshire and the Humber
HU9,Yorkshire and the Humber
HX1,Yorkshire and the Humber
HX2,Yorkshire and the Humber
HX3,Yorkshire and the Humber
HX4,Yorkshire and the Humber
HX5,Yorkshire and the Humber
HX6,Yorkshire and the Humber
HX7,Yorkshire and the Humber
IG1,London
IG10,East of England
IG11,London
IG2,London
IG3,London
IG4,London
IG5,London
IG6,London
IG7,East of England
IG8,London
IG9,East of England
IM1,Isle of Man
IM2,Isle of Man
IP1,East of England
IP10,East of England
IP11,East of England
IP12,East of England
IP13,East of England
IP14,East of England
IP15,East of England
IP16,East of England
IP17,East of England
IP18,East of England
IP19,East of England
IP2,East of England
IP20,East of England
IP21,East of England
IP22,East of England
IP23,East of England
IP24,East of England
IP25,East of England
IP26,East of England
IP27,East of England
IP28,East of England
IP29,East of England
IP3,East of England
IP30,East of England
IP31,East of England
IP32,East of England
IP33,East of England
IP4,East of England
IP5,East of England
IP6,East of England
IP7,East of England
IP8,East of England
IP9,East of England
IP98,East of England
IV1,Scotland
IV10,Scotland
IV11,Scotland
IV12,Scotland
IV13,Scotland
IV14,Scotland
IV15,Scotland
IV16,Scotland
IV17,Scotland
IV18,Scotland
IV19,Scotland
IV2,Scotland
IV20,Scotland
IV21,Scotland
IV22,Scotland
IV23,Scotland
IV24,Scotland
IV25,Scotland
IV26,Scotland
IV27,Scotland
IV28,Scotland
IV3,Scotland
IV30,Scotland
IV31,Scotland
IV32,Scotland
IV33,Scotland
IV34,Scotland
IV35,Scotland
IV36,Scotland
IV4,Scotland
IV40,Scotland
IV41,Scotland
IV42,Scotland
IV43,Scotland
IV44,Scotland
IV45,Scotland
IV46,Scotland
IV47,Scotland
IV48,Scotland
IV49,Scotland
IV5,Scotland
IV51,Scotland
IV52,Scotland
IV53,Scotland
IV54,Scotland
IV55,Scotland
IV56,Scotland
IV6,Scotland
IV63,Scotland
IV7,Scotland
IV8,Scotland
IV9,Scotland
IV99,Scotland
JE1,Channel Islands
JE2,Channel Islands
JE3,Channel Islands
JE4,Channel Islands
JE5,Channel Islands
KA1,Scotland
KA10,Scotland
KA11,Scotland
KA12,Scotland
KA13,Scotland
KA14,Scotland
KA15,Scotland
KA16,Scotland
KA17,Scotland
KA18,Scotland
KA19,Scotland
KA2,Scotland
KA20,Scotland
KA21,Scotland
KA22,Scotland
KA23,Scotland
KA24,Scotland
KA25,Scotland
KA26,Scotland
KA27,Scotland
KA28,Scotland
KA29,Scotland
KA3,Scotland
KA30,Scotland
KA4,Scotland
KA5,Scotland
KA6,Scotland
KA7,Scotland
KA8,Scotland
KA9,Scotland
KT1,London
KT10,South East England
KT11,South East England
KT12,South East England
KT13,South East England
KT14,South East England
KT15,South East England
KT16,South East England
KT17,South East England
KT18,South East England
KT19,South East England
KT2,London
KT20,South East England
KT21,South East England
KT22,South East England
KT23,South East England
KT24,South East England
KT3,London
KT4,London
KT5,London
KT6,London
KT7,South East England
KT8,South East England
KT9,London
KW1,Scotland
KW10,Scotland
KW11,Scotland
KW12,Scotland
KW13,Scotland
KW14,Scotland
KW15,Scotland
KW16,Scotland
KW17,Scotland
KW2,Scotland
KW3,Scotland
KW5,Scotland
KW6,Scotland
KW7,Scotland
KW8,Scotland
KW9,Scotland
KY1,Scotland
KY10,Scotland
KY11,Scotland
KY12,Scotland
KY13,Scotland
KY14,Scotland
KY15,Scotland
KY16,Scotland
KY2,Scotland
KY3,Scotland
KY4,Scotland
KY5,Scotland
KY6,Scotland
KY7,Scotland
KY8,Scotland
KY9,Scotland
KY99,Scotland
L1,North West England
L10,North West England
L11,North West England
L12,North West England
L13,North West England
L14,North West England
L15,North West England
L16,North West England
L17,North West England
L18,North West England
L19,North West England
L2,North West England
L20,North West England
L21,North West England
L22,North West England
L23,North West England
L24,North West England
L25,North West England
L26,North West England
L27,North West England
L28,North West England
L29,North West England
L3,North West England
L30,North West England
L31,North West England
L32,North West England
L33,North West England
L34,North West England
L35,North West England
L36,North West England
L37,North West England
L38,North West England
L39,North West England
L4,North West England
L40,North West England
L41,North West England
L42,North West England
L43,North West England
L44,North West England
L45,North West England
L46,North West England
L47,North West England
L48,North West England
L49,North West England
L5,North West England
L6,North West England
L60,North West England
L61,North West England
L62,North West England
L63,North West England
L64,North West England
L65,North West England
L66,North West England
L67,North West England
L68,North West England
L69,North West England
L7,North West England
L70,North West England
L71,North West England
L72,North West England
L73,North West England
L74,North West England
L75,North West England
L8,North West England
L80,North West England
L9,North West England
LA1,North West England
LA10,North West England
LA11,North West England
LA12,North West England
LA13,North West England
LA14,North West England
LA15,North West England
LA16,North West England
LA17,North West England
LA18,North West England
LA19,North West England
LA2,North West England
LA20,North West England
LA21,North West England
LA22,North West England
LA23,North West England
LA3,North West England
LA4,North West England
LA5,North West England
LA6,North West England
LA7,North West England
LA8,North West England
LA9,North West England
LD1,Wales
LD2,Wales
LD3,Wales
LD4,Wales
LD5,Wales
LD6,Wales
LD7,Wales
LD8,Wales
LE1,East Midlands
LE10,East Midlands
LE11,East Midlands
LE12,East Midlands
LE13,East Midlands
LE14,East Midlands
LE15,East Midlands
LE16,East Midlands
LE17,East Midlands
LE18,East Midlands
LE19,East Midlands
LE2,East Midlands
LE21,East Midlands
LE3,East Midlands
LE4,East Midlands
LE41,East Midlands
LE5,East Midlands
LE55,East Midlands
LE6,East Midlands
LE65,East Midlands
LE67,East Midlands
LE7,East Midlands
LE8,East Midlands
LE87,East Midlands
LE9,East Midlands
LE94,East Midlands
LE95,East Midlands
LL11,Wales
LL12,Wales
LL13,Wales
LL14,Wales
LL15,Wales
LL16,Wales
LL17,Wales
LL18,Wales
LL19,Wales
LL20,Wales
LL21,Wales
LL22,Wales
LL23,Wales
LL24,Wales
LL25,Wales
LL26,Wales
LL27,Wales
LL28,Wales
LL29,Wales
LL30,Wales
LL31,Wales
LL32,Wales
LL33,Wales
LL34,Wales
LL35,Wales
LL36,Wales
LL37,Wales
LL38,Wales
LL39,Wales
LL40,Wales
LL41,Wales
LL42,Wales
LL43,Wales
LL44,Wales
LL45,Wales
LL46,Wales
LL47,Wales
LL48,Wales
